Revised,Number,Vocabulary,Meaning
,1,last,続く、持続する、(天候・体力・食品などが)持ちこたえる
,2,affect,に影響を及ぼす；を感動させる
,3,claim,と主張する；を（自分のものとして）要求する
,4,ship,を出荷する、を輸送する
,5,issue,問題（点）；発行（物）；発表
,6,purchase,を購入する
,7,occur,起こる；心に浮かぶ；現れる
,8,deal,を処理する；を商う；を分配する
,9,consume,を消費する；を食べる，飲む
,10,present,を提示する、を進呈する
,11,fire,を解雇する、を首にする
,12,regard,を見なす；を見る；を評価する
,13,fine,に罰金を科す
,14,transfer,を移す；を伝える；移る；乗り換える
,15,decline,減少する；衰退する；を断る
,16,eliminate,を取り除く
,17,indicate,を指し示す；を述べる
,18,ensure,を確実にする（≒make sure）；を守る
,19,expand,（を）拡大する；（を）詳説する
,20,address,（問題など）に対処する；に演説する；（手紙など）を（～宛てに）出す（to）
,21,identify,を特定する；を（～と）同一視する（with）
,22,construct,を建設する（＝build）；を構成する
,23,invest,（を）投資する；に（～を）与える（with）
,24,obtain,を得る
,25,struggle,闘い；懸命の努力
,26,counter,～と反論する、～に反対する
,27,associate,を結び付けて考える；（～と）交際する（with）
,28,register,を記録する，登録する；（～に）登録する（for）
,29,reveal,を明らかにする；を見せる
,30,species,（生物の）種；種類
,31,diet,(日常の)食べ物、療養食
,32,site,用地，場所；跡地；（ウェブ）サイト
,33,cell,細胞；独房；電池
,34,facility,施設，設備；機能；才能
,35,practice,実践，実行；（社会の）慣習；練習
,36,resident,居住者；滞在者
,37,option,選択（の自由）；選択肢
,38,organ,器官，臓器；組織；（パイプ）オルガン
,39,critic,批判する人、批評家
,40,region,地域；領域；部位
,41,tax,税金、税
,42,access,利用，入手；接近（の機会・方法・権利）
,43,virus,ウイルス；（感染症の）病原体
,44,bill,請求書；【英】勘定書（≒【米】check）；法案
,45,evidence,証拠
,46,attempt,を試みる，企てる
,47,account,説明；勘定；口座
,48,theory,学説；理論；原理；推測
,49,factor,要因、要素
,50,stock,在庫品；蓄え；株
,51,chemical,化学の，化学的な
,52,media,マスメディア、マスコミ
,53,income,収入；所得
,54,supply,を供給する
,55,shortage,不足、欠如
,56,poverty,貧困、欠乏
,57,criminal,犯人、犯罪者
,58,budget,予算；経費
,59,authority,〔通例 the ～ties〕（関係）当局；権威；権限
,60,genome,ゲノム
,61,atmosphere,〔the ～〕大気；雰囲気
,62,aid,を援助する，助ける（≒help）
,63,measure,措置、程度、基準
,64,subject,話題；科目；主題；被験者
,65,decade,10年間
,66,weapon,兵器，武器（≒arms）
,67,nutrient,栄養分、栄養になるもの
,68,expense,〔～s〕経費；費用；犠牲
,69,structure,構造；体系；構造物
,70,adolescent,青年
,71,procedure,手順、手続き
,72,minimum,最小限度
,73,fuel,燃料；勢いを増加させるもの
,74,resource,〔通例～s〕資源；〔通例～s〕資金；才覚
,75,regulation,規則、規制
,76,contract,契約（書）；協定
,77,insurance,保険；保険料；保険金
,78,employment,雇用、職
,79,ban,を（法的に）禁止する；を締め出す
,80,vehicle,車、(特に陸上の)乗り物、輸送機関、伝達手段
,81,soil,土地，土壌；（悪事などの）温床
,82,cargo,(主に船・飛行機の)積荷、貨物
,83,aircraft,航空機、飛行機
,84,current,現在の；現代の；通用している
,85,political,政治（上）の
,86,significant,重要な，重大な；意義深い
,87,effective,効果的な、有効な
,88,military,軍の，軍事（用）の
,89,due,予定された；（支払）期日で；しかるべき
,90,essential,（～に）必要不可欠な（to/for）；本質的な
,91,illegal,違法の、非合法の
,92,immune,（～に対して）免疫を持つ（to）；（～を）免れた（from）
,93,numerous,非常に数の多い
,94,extreme,極端な；極度の，過激な
,95,general,全体の、一般的な
,96,agricultural,農業の、農耕の
,97,overall,総合的な；全体的な
,98,additional,追加の、付加的な
,99,entire,全体の，全部の（≒whole）；完全な
,100,severe,（人・規律・事態・天気などが）厳しい；猛烈な
,101,alter,を変える；変わる（≒change）
,102,adopt,を採用する；（態度など）をとる；を養子にする
,103,vote,投票；投票結果；〔the ～〕選挙権
,104,determine,を決定する；を正確に知る
,105,enable,（人）が...できるようにする；を可能にする
,106,conduct,（調査・実験など）を実施する；を導く
,107,direct,を案内する、を指揮する
,108,absorb,を吸収する；を併合する；を夢中にさせる
,109,imply,を暗に意味する；を必然的に伴う
,110,operate,を操作する；機能する；手術する
,111,demonstrate,を論証［証明］する；デモをする
,112,boost,を押し上げる；を増加させる
,113,prove,を証明する；判明する，わかる
,114,monitor,を監視する；を傍受する
,115,defeat,を負かす（≒beat）；を失敗させる
,116,protest,（に）抗議する；を主張する
,117,target,（到達・攻撃）目標；的
,118,preserve,を保存する；を保持する；を保護する
,119,oppose,に反対する；を対抗［対比］させる
,120,migrate,移住する；（鳥などが）渡る
,121,analyze,を分析する
,122,discourage,（人）にやる気をなくさせる；を落胆させる
,123,confirm,を確認する；を裏づける
,124,intend,を意図する
,125,predict,を予言［予測］する
,126,extend,を伸［延］ばす；伸びる；及ぶ
,127,figure,数字；姿；人物；図表
,128,transportation,交通[輸送]機関、輸送
,129,institution,機関；協会；施設；制度
,130,theft,窃盗（罪）
,131,candidate,（～の）候補（者）（for）；志願者
,132,mammal,哺乳動物
,133,economist,経済学者
,134,protein,たんぱく質
,135,immigrant,(外国からの)移住者、移民
,136,property,不動産、財産、特性
,137,fund,〔しばしば～s〕基金，資金
,138,habitat,生息地；（人の）居住地
