Revised,Number,Vocabulary,Meaning
,1,agree,[自] ①賛成する ②（主語の中で）意見が一致する ③（with ～）（気候，食べ物が）（～に）合う
,2,oppose,[他] ～に反対する
,3,advise,[他] ～に忠告する
,4,tip,[名] ①助言，ヒント ②チップ ③（足や山などの）先，先端（いずれも〈可算〉）
,5,discuss,[他] ①～について話し合う，議論する ②～を話題に出す
,6,blame,[他] ～に責任があるとする
,7,argue,[他] ①（that SV）～と主張する [自] ②（with ～）（～と）言い争う
,8,claim,[他] ①（that SV）～と主張する ②～を要求する，主張する [名] ③主張，要求
,9,complain,[自] ①文句を言う，苦情を言う ②（of ～）（病気などを）訴える
,10,offer,[他] ①～を申し出る [名] ②申し出 ③値引き
,11,suggest,[他] ①～を示唆する ②～を提案する
,12,recommend,[他] ～を推薦する，勧める
,13,grateful,[形] 感謝している
,14,apologize,[自] （to ～）（～に）謝る
,15,excuse,[名] ①言い訳 [他] ②～を許す ③（A from B）（B からA）を免除する
,16,celebrate,[他] ①（特別な日、出来事）を祝う ②（儀式など）を挙行する，執り行う
,17,congratulate,[他] （人）を祝う，～にお祝いを述べる
,18,admire,[他] ～を称賛する，～に感心する
,19,impress,[他] ～に感銘を与える，～を感心させる
,20,award,[名] ①賞 [他] ②～を授与する
,21,explain,[他] ～を説明する
,22,describe,[他] ～を説明する
,23,communicate,[自] ①（with ～）（～と）意思の疎通をはかる [他] ②～を伝える
,24,express,[他] ①（意見，気持ち）を表現する [名] ②急行（列車，バス）
,25,promise,[名] ①約束 [他] ②～を約束する
,26,information,[名] 情報〈不可算〉
,27,technology,[名] （科学）技術
,28,research,[名] ①（学術）研究 [他] ②～を研究する
,29,material,[名] ①材料，生地 ②資料，教材 [形] ③物質的な ④重大な
,30,artificial,[形] 人工的な
,31,electric,[形] 電気の，電動の
,32,invent,[他] ①～を発明する ②（話など）をでっち上げる
,33,discover,[他] ①～を発見する ②（that SV）～を知る，～に気がつく ③（知るという意味で）～に出会う
,34,develop,[自] ①発達する [他] ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる
,35,skill,[名] 技術，力
,36,ability,[名] 能力
,37,talent,[名] 才能
,38,effort,[名] 努力
,39,practice,[名] ①練習 ②実践 ③慣習 [他] ④～を練習する ⑤～を実践する
,40,achieve,[他] ～を達成する
,41,manage,[他] ①（to do）何とかして～する ②～を経営する，管理する
,42,improve,[他] ①～を改善する，磨く [自] ②よくなる
,43,produce,[他] ①～を生産する，産出する ②（見せるために）～を取り出す [名] ③農作物〈不可算〉
,44,create,[他] ①～を創造する ②～を引き起こす
,45,establish,[他] ①～を確立する，定着させる ②～を設立する
,46,form,[他] ①～を形成する [名] ②形態 ③書式
,47,save,[他] ①（時間，手間）を省く ②～を貯金する ③（命など）を救う [前] ④～を除いて（＝except）
,48,medicine,[名] ①（for ～）（～の）薬 ②医学（＝medical science）
,49,patient,[名] ①患者 [形] ②忍耐強い
,50,condition,[名] ①状態，容態 ②（通例 ―s）（周囲の）状況，条件
,51,medical,[形] ①医療の ②医学の
,52,stress,[名] ①ストレス ②（on ～）（～に対する）強調 [他] ③～を強調する
,53,suffer,[自] ①（from ～）（病気などで）苦しむ [他] ②（苦痛，損害）を経験する
,54,exercise,[名] ①運動 ②（―s）練習 [自] ③運動する [他] ④～を行使する
,55,breathe,[自] 呼吸する，息をする
,56,thirsty,[形] ①のどが渇いた ②（for ～）（～を）切望して
,57,physical,[形] ①身体的な ②物理的な
,58,fever,[名] ①（体温の）熱 ②熱狂
,59,strength,[名] ①（physical ―）体力 ②力
,60,tear,[名] ①（通例 ―s）涙〈可算〉 [他] ②（up）～を引き裂く
,61,taste,[自] ①～の味がする [他] ②～の味をみる [名] ③味 ④好み
,62,rule,[名] ①規則 [他] ②～を支配する
,63,role,[名] 役割
,64,habit,[名] 習慣，癖
,65,custom,[名] ①習慣 ②（―s）税関、関税
,66,tradition,[名] 伝統
,67,society,[名] ①社会〈不可算〉 ②（ある具体的な）社会〈可算〉 ③（one's ―）～と同席すること ④協会
,68,law,[名] ①（the ―）（集合的に）法律，国法 ②（個々の）法律 ③（科学などの）法則
,69,ancestor,[名] 祖先
,70,population,[名] ①人口，個体数 ②（一定の地域に住む）住民
,71,native,[形] ①母国の，その土地の [名] ②（ある土地の）生まれの人
,72,abroad,[副] 海外へ，海外で
,73,local,[形] ①その土地の，地元の ②地方の [名] ③地元の人
,74,survey,[名] ①調査〈可算〉 [他] ②～を調査する
,75,value,[名] ①価値 ②（―s）価値観 ③お買い得品〈不可算〉 [他] ④～を重んじる
,76,treasure,[名] ①財宝，宝 ②大事な物［人］ [他] ③（思い出など）を大事にする
,77,fashion,[名] ①流行 ②流儀，やり方 [他] ③（手などで）～を作る
,78,public,[名] ①（the ―）大衆 [形] ②公共の，公の
,79,evidence,[名] 証拠〈不可算〉
,80,vote,[名] ①投票（数)[自] ②投票する
,81,government,[名] 政府
,82,nation,[名] ①国家 ②（the ―)国民
,83,capital,[名] ①首都 ②資本 [形] ③重大な，死に値する
,84,state,[名] ①州 ②状態 ③国家 [他] ④（意見，情報）を述べる
,85,political,[形] 政治的な，政治の
,86,price,[名] ①価格 ②（―s）物価 ③代償
,87,sum,[名] ①（修飾語を伴って）金額 ②合計 ③（簡単な）計算 [他] ④（up）～を要約する
,88,budget,[名] ①予算 [形] ②安い
,89,fee,[名] ①（会費，遊園地などの）料金 ②（専門職への）謝礼
,90,fare,[名] 運賃
,91,bill,[名] ①勘定 ②請求書 ③〈米〉紙幣 ④法案
